,Corr,P
MAML2,-0.512739038984582,6.13795361136134e-35
MAMLD1,-0.466469695991956,1.95936672265589e-28
MAN1A1,-0.539119602420662,4.06085789187972e-39
MAP1S,-0.407555561484741,1.80290925628186e-21
MAP3K1,-0.456390985619974,3.81923138749714e-27
MAP3K12,-0.474351629436307,1.79096261426285e-29
MAP3K14,-0.503180409288906,1.63786482634171e-33
MAP3K3,-0.539500005990678,3.51253438744201e-39
MAP3K5,-0.403241784881551,5.17624093782039e-21
MAP3K7CL,-0.442688421713559,1.85397979771133e-25
MAP4,-0.404113743725227,4.18761763882063e-21
MAP4K4,-0.515918451928926,2.01153666634955e-35
MAP4K5,-0.434247830199751,1.85893080275355e-24
MAP7D1,-0.474465105367303,1.72953609885766e-29
MAPK15,-0.425911324326012,1.70162574184033e-23
MAPK7,-0.449791669347976,2.5326864870045e-26
MAPK8IP3,-0.45487346173565,5.92236897397889e-27
MAPKBP1,-0.43398001810416,1.99789073706759e-24
MARVELD1,-0.506703906594947,4.94052892453179e-34
MAST4,-0.427999111625955,9.82978285555543e-24
MATN3,-0.556711824156857,4.06703774417712e-42
MATR3,-0.417625742933814,1.44687875054832e-22
MAU2,-0.428349449187757,8.96169401683659e-24
MB21D2,-0.409252703821553,1.18558561574744e-21
MBD6,-0.435690384732931,1.25933489824489e-24
MBNL1,-0.499670375638904,5.33092890207085e-33
MBOAT2,-0.420363124279086,7.18074354546041e-23
MC1R,-0.40737225806857,1.88613722432747e-21
MCAM,-0.426560415377968,1.4353187521955e-23
MCC,-0.504955110365769,8.97160586025873e-34
MCL1,-0.510678454749574,1.25693133661948e-34
MCTP1,-0.554919872226428,8.37522367908947e-42
MCTP2,-0.430993236346435,4.44484159528519e-24
MDFI,-0.585422884961296,2.05254318124701e-47
MDFIC,-0.438831056034375,5.35943733567232e-25
MDK,-0.466013561352906,2.24606691505733e-28
ME3,-0.44795814311224,4.25292235140059e-26
MECOM,-0.492843565033055,5.09077372533576e-32
