,rowSums(tcga.mut.dat)
DMD,1
DMP1,2
DMPK,1
DMRTB1,1
DMTF1,1
DMTN,2
DMXL1,2
DMXL2,2
DNAAF2,1
DNAH1,3
DNAH10,4
DNAH11,1
DNAH17,3
DNAH2,6
DNAH3,3
DNAH5,1
DNAH6,0
DNAH7,2
DNAH8,6
DNAH9,7
DNAI2,1
DNAJA2,2
DNAJB11,1
DNAJB9,1
DNAJC1,2
DNAJC11,2
DNAJC12,1
DNAJC13,4
DNAJC14,1
DNAJC16,1
DNAJC17,1
DNAJC25,1
DNAJC5G,1
DNALI1,1
DNASE2,3
DNHD1,1
DNM3,1
DNMT1,1
DNMT3A,5
DNTTIP1,2
DNTTIP2,1
DOCK10,2
DOCK11,3
DOCK2,2
DOCK3,1
DOCK4,1
DOCK5,3
DOCK6,2
DOCK7,4
DOCK8,2
DOK1,1
DOK5,1
DOK6,1
DOPEY1,2
DPF1,1
DPF3,1
DPH1,1
DPP3,1
DPP8,1
DPY19L1,1
DPY19L2,1
DPY19L4,1
DPYD,3
DPYSL5,2
DRAM1,1
DRD4,2
DRG1,1
DRP2,1
DSC2,1
DSC3,1
DSCAML1,2
DSE,2
DSP,1
DSPP,1
DST,3
DTNA,1
DTNB,1
DTWD1,1
DTX1,1
DTYMK,1
DUSP13,1
DUSP19,1
DUSP27,1
DUSP5,1
DVL2,2
DYNC1H1,2
DYNC1I1,1
DYNC1LI2,1
DYNC2H1,1
DYNLL1,1
DYNLT3,1
DYRK3,1
DYRK4,2
DYSF,2
DYX1C1,1
DZIP1,1
E2F3,1
E2F8,2
E4F1,1
EBAG9,1
EBF1,1
EBPL,1
ECE2,1
ECEL1,1
ECHDC2,1
ECM2,1
ECSIT,1
ECT2,2
ECT2L,1
EDDM3B,1
EDEM1,1
EDEM3,1
EDNRA,1
EDRF1,1
EEA1,1
EED,1
EEF1A1,1
EEF1A2,1
EEF1D,1
EEF2,1
EFCAB1,1
EFCAB14,1
EFCAB5,2
EFCAB6,1
EFCAB7,3
EFR3A,2
EFS,1
EFTUD2,1
EGFL6,1
EGFL8,2
EGFLAM,1
EHBP1,1
EHD1,1
EHHADH,1
EID3,1
EIF1AX,8
EIF2A,1
EIF2AK3,2
EIF2S2,1
EIF3A,1
EIF3B,1
EIF3D,1
EIF3E,1
EIF3F,2
EIF3G,1
EIF4A2,1
EIF4ENIF1,3
EIF4G2,1
EIF5,1
EIF5B,1
ELF4,2
ELFN2,1
ELK4,1
ELL,1
ELL2,1
ELMO1,1
ELOVL1,2
ELOVL7,1
EMC4,1
EMILIN1,1
EML4,1
ENG,1
ENGASE,1
ENKD1,1
ENPEP,3
ENPP1,3
ENPP2,2
ENPP3,1
ENPP6,1
ENPP7,1
ENTPD1,1
ENTPD7,1
EP400NL,1
EPB41L1,1
EPB41L3,1
EPB41L4A,2
EPG5,4
EPHA3,1
EPHA5,1
EPHA6,1
EPHB1,2
EPRS,3
EPS15L1,1
EPS8L1,1
EPSTI1,1
EPX,1
EQTN,1
ERAP2,1
ERBB2IP,1
ERBB3,2
ERBB4,3
ERC1,2
ERCC3,1
ERCC6,1
ERCC6L2,1
ERF,1
ERG,1
ERI1,1
ERICH3,1
ERO1L,1
ERVW-1,1
ESCO1,1
ESCO2,2
ESF1,1
ESPL1,1
ESPN,1
ESYT2,2
ETF1,1
ETS1,2
ETV1,1
ETV5,1
EVC,1
EVL,1
EVPL,3
EXD1,1
EXD2,1
EXOC2,1
EXOC3L2,1
EXOC3L4,1
EXOC4,1
EXOC7,1
EXOSC10,1
EXOSC3,1
EXPH5,2
EXT1,1
EXTL2,1
EYA3,1
EYA4,1
EZH1,1
EZH2,1
EZR,1
F10,1
F13B,1
F2RL2,1
F7,1
F8,1
F9,1
FA2H,1
FADS6,1
FAF2,1
FAIM2,1
FAM110B,2
FAM110C,1
FAM111A,1
FAM114A1,1
FAM114A2,1
FAM117B,2
FAM120B,2
FAM120C,1
FAM122A,1
FAM122B,1
FAM124B,1
FAM126B,1
FAM129B,2
FAM131B,1
FAM133A,2
FAM135A,1
FAM135B,1
FAM13A,1
FAM13C,1
FAM151A,1
FAM153B,1
FAM155A,2
FAM161A,1
FAM169B,2
FAM172A,1
FAM175A,1
FAM178A,1
FAM179A,1
FAM179B,1
FAM183B,1
FAM187B,1
FAM196A,1
FAM19A5,1
FAM208B,1
FAM214B,1
FAM217A,2
FAM221B,1
FAM222A,1
FAM227B,1
FAM35A,4
FAM3C,1
FAM47A,1
FAM47E-STBD1,1
FAM49A,1
FAM50B,1
FAM53B,1
FAM63B,1
FAM64A,1
FAM72C,1
FAM73A,1
FAM76A,1
FAM76B,1
FAM78A,2
FAM83B,1
FAM83F,1
FAM84A,1
FAM98B,2
FAM98C,1
FANCA,2
FANCB,1
FANCD2,2
FANCG,1
FANCI,1
FANCM,1
FAR1,2
FARP1,1
FARSA,1
FARSB,1
FASN,1
FASTKD1,1
FASTKD3,1
FAT1,1
FAT2,2
FAT3,3
FBLN1,1
FBN1,3
FBN3,2
FBXL12,1
FBXL2,1
FBXL20,3
FBXL4,1
FBXL5,1
FBXO10,1
FBXO11,2
FBXO3,1
FBXO47,1
FBXO7,1
FBXO9,2
FBXW7,1
FCF1,1
FCGBP,3
FCGR2B,1
FCGRT,1
FCN2,1
FCRL2,2
FCRL5,1
FECH,1
FER,1
FER1L6,1
FFAR2,1
FFAR4,1
FGD1,2
FGD2,2
FGD3,1
FGD4,2
FGD5,2
FGF13,2
FGF14,3
FGF20,1
FGF7,1
FGFR2,1
FH,1
FHL2,1
FHL3,1
FHL5,1
FHOD3,3
FIGNL1,1
FILIP1,1
FKBP7,1
FKBPL,1
FLG,2
FLG2,2
FLII,3
FLNA,2
FLNC,4
FLOT2,1
FLT3LG,1
FLT4,1
FLVCR1,1
FLVCR2,1
FMN2,1
FMNL1,2
FMNL2,1
FMO2,1
FMO3,1
FMR1,3
FN1,1
FN3KRP,1
FNBP4,1
FNDC3A,1
FNDC7,1
FNIP2,1
FNTB,1
FOCAD,2
FOLH1,2
FOLR2,1
FOLR3,1
FOXD2,1
FOXK2,2
FOXN2,1
FOXP4,1
FOXR2,1
FPGT-TNNI3K,2
FPR1,1
FRAS1,3
FREM1,4
FREM2,1
FRG1,1
FRMD4A,1
FRMD4B,1
FRMD5,1
FRMPD1,1
FRMPD2,2
FRMPD3,2
FRMPD4,2
FRRS1,2
FRS2,1
FRS3,1
FRY,2
FRYL,2
FSCB,2
FSCN1,1
FSHR,1
FSIP2,2
FSTL4,1
FUBP3,1
FUT1,1
FUT3,2
FZD2,1
FZD6,1
FZD8,2
FZR1,1
G2E3,1
GAB1,1
GAB2,1
GAB4,1
GABBR2,1
GABRA2,2
GABRA6,1
GABRP,1
GABRQ,1
GABRR2,1
GAD2,1
GAK,1
GAL3ST2,1
GALC,1
GALNT13,1
GALNT14,1
GALNT16,1
GALNT18,1
GALNT5,1
GALNT7,2
GALNT8,1
GALNTL5,2
GALT,2
GAPVD1,3
GARNL3,2
GAS1,1
GAS2L2,1
GAS2L3,2
GATA5,1
GATAD1,1
GATAD2A,1
GATSL2,1
GBA2,2
GBE1,2
GBF1,5
GBP2,1
GBP5,1
GCAT,1
GCC1,1
GCC2,3
GCN1L1,3
GCNT4,1
GDF10,1
GDF2,1
GDI2,1
GDPD1,1
GDPD2,1
GEMIN5,2
GFI1,1
GFI1B,2
GFM1,1
GFM2,1
GFOD1,1
GFPT1,1
GFRA3,1
GGA2,1
GGCT,1
GGNBP2,1
GIF,1
GIMAP4,1
GIMAP5,1
GIMAP6,2
GIMAP8,2
GIN1,1
GJA1,1
GJA9,1
GJD2,1
GLB1L,2
GLE1,1
GLG1,1
GLI2,2
GLI3,2
GLIS3,1
GLOD4,1
GLP2R,2
GLTSCR1L,1
GLYATL2,1
GNAL,2
GNAS,2
GNG12,1
GNG5,1
GNPAT,3
GOLGA1,1
GOLGA3,1
GOLGA4,6
GOLGA5,1
GOLGA8F,1
GOLGB1,2
GOLIM4,1
GON4L,1
GOT1,1
GOT1L1,1
GOT2,1
GP2,1
GP5,1
GPATCH3,1
GPATCH8,1
GPBP1,2
GPC5,1
GPC6,1
GPD2,1
GPM6B,1
GPN1,1
GPNMB,1
GPR1,1
GPR101,2
GPR119,1
GPR12,1
GPR139,2
GPR141,1
GPR142,1
GPR149,1
GPR151,2
GPR158,1
GPR18,1
GPR4,1
GPR42,1
GPR75,1
GPR78,1
GPR83,1
GPR87,1
GPR89A,1
GPRASP1,1
GPRC5B,1
GPRC5D,1
GPRC6A,1
GPRIN2,3
GPRIN3,1
GPSM3,1
GPT,1
GPX8,1
GRAMD1C,2
GRAMD2,2
GRB10,1
GRB2,1
GRB7,1
GRHL3,1
GRIA1,1
GRIA2,2
GRIA4,2
GRID2,2
GRIK1,2
GRIK2,1
GRIK4,2
GRIK5,1
GRIN2A,2
GRIN2B,5
GRIN2D,2
GRINA,1
GRK4,1
GRM2,0
GRM4,1
GRM6,3
GRXCR1,1
GSDMA,1
GSTA2,1
GSTO2,2
GTDC1,0
GTF2F2,1
GTF2H1,1
GTPBP4,3
GUCA2B,1
GUCY1A3,2
GUCY1B3,1
GULP1,1
GXYLT2,1
GYS2,1
GZF1,1
GZMM,1
H1FX,1
HAAO,1
HACL1,1
HAPLN1,1
HAS1,2
HAUS3,1
HAUS6,1
HAUS7,1
HBS1L,3
HCAR2,1
HCAR3,1
HCCS,1
HCN1,2
HCST,1
HDAC8,1
HDAC9,1
HDC,1
HDGFRP2,1
HDGFRP3,1
HDLBP,1
HEATR1,2
HEATR3,1
HEATR5A,1
HEATR5B,2
HEATR6,2
HEATR9,1
HEBP1,1
HECTD1,3
HECTD4,2
HECW1,1
HECW2,2
HELB,1
HELLS,1
HELQ,2
HELZ2,2
HEPACAM2,1
HEPHL1,1
HERC1,1
HERC3,1
HERC5,1
HEXA,1
HEXB,1
HEYL,1
HFM1,1
HGD,1
HHEX,1
HHLA2,1
HIATL1,1
HID1,2
HIF1A,2
HIF3A,2
HINT1,1
HIP1R,1
HIPK1,1
HIRIP3,1
HIST1H2BC,1
HIST1H2BD,1
HIST1H3H,1
HIST1H4B,1
HIST1H4G,1
HIST1H4J,1
HIST2H2AC,1
HIST2H3D,1
HIVEP2,1
HJURP,1
HLA-DMA,1
HLA-DMB,1
HLA-DPB1,2
HLA-DQB1,1
HLA-DRA,1
HLX,1
HMCN1,10
HMGB1,1
HMGXB4,1
HMMR,3
HMOX2,1
HNF4A,2
HNRNPA1,1
HNRNPA1L2,1
HNRNPD,1
HNRNPDL,1
HNRNPH2,1
