"","Freq","Genes"
"HPDL",1,"HPDL"
"HPGD",1,"HPGD"
"HPGDS",1,"HPGDS"
"HPN",1,"HPN"
"HPS1",1,"HPS1"
"HPS3",1,"HPS3"
"HPX",1,"HPX"
"HRCT1",1,"HRCT1"
"HRH2",1,"HRH2"
"HS3ST2",1,"HS3ST2"
"HS3ST4",1,"HS3ST4"
"HSD17B10",1,"HSD17B10"
"HSD17B12",1,"HSD17B12"
"HSD17B3",1,"HSD17B3"
"HSD17B6",1,"HSD17B6"
"HSD3B7",1,"HSD3B7"
"HSH2D",1,"HSH2D"
"HSPA12B",1,"HSPA12B"
"HSPA13",1,"HSPA13"
"HSPA1L",1,"HSPA1L"
"HSPA5",1,"HSPA5"
"HSPA8",1,"HSPA8"
"HSPG2",1,"HSPG2"
"HSPH1",1,"HSPH1"
"HTATSF1",1,"HTATSF1"
"HTR3A",1,"HTR3A"
"HTRA2",1,"HTRA2"
"IARS",1,"IARS"
"IARS2",1,"IARS2"
"ICE1",1,"ICE1"
"ICK",1,"ICK"
"ICMT",1,"ICMT"
"ID2",1,"ID2"
"ID4",1,"ID4"
"IDI1",1,"IDI1"
"IDO2",1,"IDO2"
"IDS",1,"IDS"
"IFFO1",1,"IFFO1"
"IFI16",1,"IFI16"
"IFI44L",1,"IFI44L"
"IFIT1B",1,"IFIT1B"
"IFIT3",1,"IFIT3"
"IFNA5",1,"IFNA5"
"IFNAR2",1,"IFNAR2"
"IFNE",1,"IFNE"
"IFNG",1,"IFNG"
"IFNGR1",1,"IFNGR1"
"IFNL1",1,"IFNL1"
"IFNL3",1,"IFNL3"
"IFRD1",1,"IFRD1"
"IFT46",1,"IFT46"
"IFT52",1,"IFT52"
"IGDCC4",1,"IGDCC4"
"IGF2R",1,"IGF2R"
"IGFBP1",1,"IGFBP1"
"IGFBP5",1,"IGFBP5"
"IGFBP7",1,"IGFBP7"
"IGFN1",1,"IGFN1"
"IGHE",1,"IGHE"
"IGHG3",1,"IGHG3"
"IGHV1-46",1,"IGHV1-46"
"IGHV1OR21-1",1,"IGHV1OR21-1"
"IGHV3-35",1,"IGHV3-35"
"IGHV3-53",1,"IGHV3-53"
"IGHV3OR15-7",1,"IGHV3OR15-7"
"IGHV3OR16-8",1,"IGHV3OR16-8"
"IGKV1-27",1,"IGKV1-27"
"IGKV2D-24",1,"IGKV2D-24"
"IGLV2-33",1,"IGLV2-33"
"IGLV8-61",1,"IGLV8-61"
"IGSF22",1,"IGSF22"
"IK",1,"IK"
"IKZF3",1,"IKZF3"
"IL11RA",1,"IL11RA"
"IL12RB2",1,"IL12RB2"
"IL17RB",1,"IL17RB"
"IL18RAP",1,"IL18RAP"
"IL1R1",1,"IL1R1"
"IL1RAPL1",1,"IL1RAPL1"
"IL23R",1,"IL23R"
"IL2RG",1,"IL2RG"
"IL37",1,"IL37"
"IL7",1,"IL7"
"ILDR2",1,"ILDR2"
"INF2",1,"INF2"
"ING1",1,"ING1"
"ING5",1,"ING5"
"INHBC",1,"INHBC"
"INPP1",1,"INPP1"
"INPP5D",1,"INPP5D"
"INPP5F",1,"INPP5F"
"INPP5K",1,"INPP5K"
"INTS1",1,"INTS1"
"INTS10",1,"INTS10"
"INTS9",1,"INTS9"
"IPMK",1,"IPMK"
"IPO11",1,"IPO11"
"IPO9",1,"IPO9"
"IQCB1",1,"IQCB1"
"IQCG",1,"IQCG"
"IQGAP2",1,"IQGAP2"
"IQUB",1,"IQUB"
"IRAK3",1,"IRAK3"
"IREB2",1,"IREB2"
"IRS4",1,"IRS4"
"IRX2",1,"IRX2"
"ISM1",1,"ISM1"
"ITCH",1,"ITCH"
"ITGA1",1,"ITGA1"
"ITGA2",1,"ITGA2"
"ITGA3",1,"ITGA3"
"ITGA6",1,"ITGA6"
"ITGA7",1,"ITGA7"
"ITGA8",1,"ITGA8"
"ITGAD",1,"ITGAD"
"ITGAV",1,"ITGAV"
"ITGAX",1,"ITGAX"
"ITGB2",1,"ITGB2"
"ITPA",1,"ITPA"
"ITPKB",1,"ITPKB"
"ITPR1",1,"ITPR1"
"ITSN2",1,"ITSN2"
"IVNS1ABP",1,"IVNS1ABP"
"IYD",1,"IYD"
"JAK1",1,"JAK1"
"JAKMIP2",1,"JAKMIP2"
"JPH2",1,"JPH2"
"JUN",1,"JUN"
"KAL1",1,"KAL1"
"KALRN",1,"KALRN"
"KANK4",1,"KANK4"
"KANSL2",1,"KANSL2"
"KANSL3",1,"KANSL3"
"KAT2A",1,"KAT2A"
"KAT5",1,"KAT5"
"KAT8",1,"KAT8"
"KBTBD12",1,"KBTBD12"
"KBTBD2",1,"KBTBD2"
"KBTBD3",1,"KBTBD3"
"KBTBD7",1,"KBTBD7"
"KCNA1",1,"KCNA1"
"KCNA4",1,"KCNA4"
"KCNA5",1,"KCNA5"
"KCNA7",1,"KCNA7"
"KCNAB1",1,"KCNAB1"
"KCNC2",1,"KCNC2"
"KCNC4",1,"KCNC4"
"KCNG1",1,"KCNG1"
"KCNG3",1,"KCNG3"
"KCNH1",1,"KCNH1"
"KCNH4",1,"KCNH4"
"KCNH5",1,"KCNH5"
"KCNH7",1,"KCNH7"
"KCNIP1",1,"KCNIP1"
"KCNIP2",1,"KCNIP2"
"KCNIP3",1,"KCNIP3"
"KCNIP4",1,"KCNIP4"
"KCNJ10",1,"KCNJ10"
"KCNJ9",1,"KCNJ9"
"KCNK1",1,"KCNK1"
"KCNK18",1,"KCNK18"
"KCNK6",1,"KCNK6"
"KCNN3",1,"KCNN3"
"KCNQ5",1,"KCNQ5"
"KCNV2",1,"KCNV2"
"KCTD2",1,"KCTD2"
"KCTD3",1,"KCTD3"
"KCTD7",1,"KCTD7"
"KCTD9",1,"KCTD9"
"KDELR3",1,"KDELR3"
"KDM2B",1,"KDM2B"
"KDM4C",1,"KDM4C"
"KDM5A",1,"KDM5A"
"KDM5B",1,"KDM5B"
"KDM6A",1,"KDM6A"
"KDM8",1,"KDM8"
"KDR",1,"KDR"
"KDSR",1,"KDSR"
"KEAP1",1,"KEAP1"
"KEL",1,"KEL"
"KERA",1,"KERA"
"KHDRBS2",1,"KHDRBS2"
"KHNYN",1,"KHNYN"
"KIAA0020",1,"KIAA0020"
"KIAA0100",1,"KIAA0100"
"KIAA0195",1,"KIAA0195"
"KIAA0319L",1,"KIAA0319L"
"KIAA0513",1,"KIAA0513"
"KIAA0556",1,"KIAA0556"
"KIAA0825",1,"KIAA0825"
"KIAA0895",1,"KIAA0895"
"KIAA0895L",1,"KIAA0895L"
"KIAA0930",1,"KIAA0930"
"KIAA1211",1,"KIAA1211"
"KIAA1217",1,"KIAA1217"
"KIAA1462",1,"KIAA1462"
"KIAA1467",1,"KIAA1467"
"KIAA1468",1,"KIAA1468"
"KIAA1522",1,"KIAA1522"
"KIAA1755",1,"KIAA1755"
"KIF11",1,"KIF11"
"KIF14",1,"KIF14"
"KIF19",1,"KIF19"
"KIF1A",1,"KIF1A"
"KIF21A",1,"KIF21A"
"KIF21B",1,"KIF21B"
"KIF23",1,"KIF23"
"KIF25",1,"KIF25"
"KIF26B",1,"KIF26B"
"KIF27",1,"KIF27"
"KIF6",1,"KIF6"
"KIR3DL1",1,"KIR3DL1"
"KIRREL",1,"KIRREL"
"KLF4",1,"KLF4"
"KLHDC2",1,"KLHDC2"
"KLHDC8B",1,"KLHDC8B"
"KLHL13",1,"KLHL13"
"KLHL14",1,"KLHL14"
"KLHL2",1,"KLHL2"
"KLHL22",1,"KLHL22"
"KLHL24",1,"KLHL24"
"KLHL26",1,"KLHL26"
"KLHL35",1,"KLHL35"
"KLHL36",1,"KLHL36"
"KLHL4",1,"KLHL4"
"KLHL40",1,"KLHL40"
"KLHL41",1,"KLHL41"
"KRIT1",1,"KRIT1"
"KRR1",1,"KRR1"
"KRT18",1,"KRT18"
"KRT20",1,"KRT20"
"KRT222",1,"KRT222"
"KRT33B",1,"KRT33B"
"KRT35",1,"KRT35"
"KRT80",1,"KRT80"
"KRT9",1,"KRT9"
"KRTAP10-1",1,"KRTAP10-1"
"KRTAP10-11",1,"KRTAP10-11"
"KRTAP10-12",1,"KRTAP10-12"
"KRTAP10-5",1,"KRTAP10-5"
"KRTAP3-3",1,"KRTAP3-3"
"KRTAP4-12",1,"KRTAP4-12"
"KRTAP4-2",1,"KRTAP4-2"
"KRTAP4-6",1,"KRTAP4-6"
"KRTAP5-6",1,"KRTAP5-6"
"KRTAP6-2",1,"KRTAP6-2"
"KRTAP8-1",1,"KRTAP8-1"
"KRTAP9-3",1,"KRTAP9-3"
"KRTCAP3",1,"KRTCAP3"
"L3MBTL4",1,"L3MBTL4"
"LAMA5",1,"LAMA5"
"LAMB1",1,"LAMB1"
"LAMC1",1,"LAMC1"
"LAMP5",1,"LAMP5"
"LARGE",1,"LARGE"
"LARP1",1,"LARP1"
"LARP1B",1,"LARP1B"
"LARP4B",1,"LARP4B"
"LARP7",1,"LARP7"
"LARS",1,"LARS"
"LARS2",1,"LARS2"
"LATS1",1,"LATS1"
"LAX1",1,"LAX1"
"LAYN",1,"LAYN"
"LBP",1,"LBP"
"LBR",1,"LBR"
"LCA5",1,"LCA5"
"LCE1C",1,"LCE1C"
"LCMT1",1,"LCMT1"
"LCOR",1,"LCOR"
"LCT",1,"LCT"
"LDHAL6A",1,"LDHAL6A"
"LDHC",1,"LDHC"
"LDLRAD3",1,"LDLRAD3"
"LEMD1",1,"LEMD1"
"LEMD2",1,"LEMD2"
"LENG9",1,"LENG9"
"LEPR",1,"LEPR"
"LETM2",1,"LETM2"
"LETMD1",1,"LETMD1"
"LGALS13",1,"LGALS13"
"LGI3",1,"LGI3"
"LGR5",1,"LGR5"
"LGSN",1,"LGSN"
"LHFPL5",1,"LHFPL5"
"LIG4",1,"LIG4"
"LIMA1",1,"LIMA1"
"LIMD1",1,"LIMD1"
"LIMS1",1,"LIMS1"
"LIN54",1,"LIN54"
"LINC01098",1,"LINC01098"
"LIPJ",1,"LIPJ"
"LIPK",1,"LIPK"
"LIPT1",1,"LIPT1"
"LLGL1",1,"LLGL1"
"LMBR1L",1,"LMBR1L"
"LMBRD2",1,"LMBRD2"
"LMLN",1,"LMLN"
"LMO7",1,"LMO7"
"LMOD1",1,"LMOD1"
"LMOD3",1,"LMOD3"
"LNX1",1,"LNX1"
"LNX2",1,"LNX2"
"LONP1",1,"LONP1"
"LONRF2",1,"LONRF2"
"LOR",1,"LOR"
"LPCAT3",1,"LPCAT3"
"LPL",1,"LPL"
"LRBA",1,"LRBA"
"LRFN4",1,"LRFN4"
"LRFN5",1,"LRFN5"
"LRP11",1,"LRP11"
"LRP2",1,"LRP2"
"LRP6",1,"LRP6"
"LRPAP1",1,"LRPAP1"
"LRRC14",1,"LRRC14"
"LRRC17",1,"LRRC17"
"LRRC28",1,"LRRC28"
"LRRC3",1,"LRRC3"
"LRRC32",1,"LRRC32"
"LRRC37A2",1,"LRRC37A2"
"LRRC42",1,"LRRC42"
"LRRC46",1,"LRRC46"
"LRRC55",1,"LRRC55"
"LRRC56",1,"LRRC56"
"LRRC8D",1,"LRRC8D"
"LRRIQ1",1,"LRRIQ1"
"LRRIQ4",1,"LRRIQ4"
"LRRN4",1,"LRRN4"
"LRRTM3",1,"LRRTM3"
"LRSAM1",1,"LRSAM1"
"LTBP2",1,"LTBP2"
"LTBP3",1,"LTBP3"
"LTF",1,"LTF"
"LUM",1,"LUM"
"LVRN",1,"LVRN"
"LY9",1,"LY9"
"LYN",1,"LYN"
"LYPLAL1",1,"LYPLAL1"
"LYZ",1,"LYZ"
"LYZL6",1,"LYZL6"
"LZTR1",1,"LZTR1"
"MACC1",1,"MACC1"
"MAGEA11",1,"MAGEA11"
"MAGEB10",1,"MAGEB10"
"MAGEB2",1,"MAGEB2"
"MAGEB3",1,"MAGEB3"
"MAGED1",1,"MAGED1"
"MAGEE2",1,"MAGEE2"
"MAGI1",1,"MAGI1"
"MAGI2",1,"MAGI2"
"MAMLD1",1,"MAMLD1"
"MAN2C1",1,"MAN2C1"
"MAP10",1,"MAP10"
"MAP1LC3B",1,"MAP1LC3B"
"MAP1LC3B2",1,"MAP1LC3B2"
"MAP1S",1,"MAP1S"
"MAP2K1",1,"MAP2K1"
"MAP3K1",1,"MAP3K1"
"MAP3K10",1,"MAP3K10"
"MAP3K6",1,"MAP3K6"
"MAPK10",1,"MAPK10"
"MAPK4",1,"MAPK4"
"MAPK8IP2",1,"MAPK8IP2"
"MAPKAPK3",1,"MAPKAPK3"
"MAPRE2",1,"MAPRE2"
"MARCH1",1,"MARCH1"
"MARCH8",1,"MARCH8"
"MARK3",1,"MARK3"
"MARS2",1,"MARS2"
"MAST2",1,"MAST2"
"MAST4",1,"MAST4"
"MAT1A",1,"MAT1A"
"MATR3",1,"MATR3"
"MAU2",1,"MAU2"
"MBD1",1,"MBD1"
"MBOAT2",1,"MBOAT2"
"MBTPS1",1,"MBTPS1"
"MCC",1,"MCC"
"MCHR1",1,"MCHR1"
"MCM10",1,"MCM10"
"MCM3AP",1,"MCM3AP"
"MCM8",1,"MCM8"
"MCOLN1",1,"MCOLN1"
"MDC1",1,"MDC1"
"MDM2",1,"MDM2"
"ME1",1,"ME1"
"MECP2",1,"MECP2"
"MED11",1,"MED11"
"MED13",1,"MED13"
"MED13L",1,"MED13L"
"MED14",1,"MED14"
"MED15",1,"MED15"
"MED16",1,"MED16"
"MED23",1,"MED23"
"MED31",1,"MED31"
"MEF2C",1,"MEF2C"
"MEGF11",1,"MEGF11"
"MEGF6",1,"MEGF6"
"MEI1",1,"MEI1"
"MEPCE",1,"MEPCE"
"MESP1",1,"MESP1"
"METRNL",1,"METRNL"
"METTL2A",1,"METTL2A"
"METTL8",1,"METTL8"
"MEX3A",1,"MEX3A"
"MFN2",1,"MFN2"
"MFRP",1,"MFRP"
"MFSD1",1,"MFSD1"
"MFSD4",1,"MFSD4"
"MFSD6L",1,"MFSD6L"
"MFSD7",1,"MFSD7"
"MGA",1,"MGA"
"MGAM",1,"MGAM"
"MGAT4C",1,"MGAT4C"
"MIB1",1,"MIB1"
"MIB2",1,"MIB2"
"MICALCL",1,"MICALCL"
"MICU3",1,"MICU3"
"MIS18BP1",1,"MIS18BP1"
"MITF",1,"MITF"
"MKL1",1,"MKL1"
"MLKL",1,"MLKL"
"MLLT1",1,"MLLT1"
"MLYCD",1,"MLYCD"
"MMD2",1,"MMD2"
"MMEL1",1,"MMEL1"
"MMP12",1,"MMP12"
"MMP17",1,"MMP17"
"MMP2",1,"MMP2"
"MMP24",1,"MMP24"
"MMP27",1,"MMP27"
"MMP3",1,"MMP3"
"MMP7",1,"MMP7"
"MN1",1,"MN1"
"MOB1A",1,"MOB1A"
"MOB1B",1,"MOB1B"
"MOB3B",1,"MOB3B"
"MOB4",1,"MOB4"
"MOCS3",1,"MOCS3"
"MOGAT1",1,"MOGAT1"
"MOGAT3",1,"MOGAT3"
"MON2",1,"MON2"
"MORC1",1,"MORC1"
"MORF4L2",1,"MORF4L2"
"MORN1",1,"MORN1"
"MORN5",1,"MORN5"
"MOSPD2",1,"MOSPD2"
"MOV10L1",1,"MOV10L1"
"MPHOSPH10",1,"MPHOSPH10"
"MPO",1,"MPO"
"MPP4",1,"MPP4"
"MPPED1",1,"MPPED1"
"MPZL3",1,"MPZL3"
"MRAP2",1,"MRAP2"
"MROH6",1,"MROH6"
"MROH7",1,"MROH7"
"MRPL10",1,"MRPL10"
"MRPL19",1,"MRPL19"
"MRPL28",1,"MRPL28"
"MRPL38",1,"MRPL38"
"MRPL39",1,"MRPL39"
"MRPL50",1,"MRPL50"
"MRPS35",1,"MRPS35"
"MS4A2",1,"MS4A2"
"MS4A4A",1,"MS4A4A"
"MSANTD4",1,"MSANTD4"
"MSH3",1,"MSH3"
"MSH5",1,"MSH5"
"MSMB",1,"MSMB"
"MSR1",1,"MSR1"
"MSS51",1,"MSS51"
"MST1R",1,"MST1R"
"MTBP",1,"MTBP"
"MTCL1",1,"MTCL1"
"MTDH",1,"MTDH"
"MTERF1",1,"MTERF1"
"MTERF2",1,"MTERF2"
"MTF1",1,"MTF1"
"MTF2",1,"MTF2"
"MTHFD1",1,"MTHFD1"
"MTHFR",1,"MTHFR"
"MTHFS",1,"MTHFS"
"MTIF3",1,"MTIF3"
"MTMR11",1,"MTMR11"
"MTMR8",1,"MTMR8"
"MTOR",1,"MTOR"
"MTR",1,"MTR"
"MTSS1L",1,"MTSS1L"
"MTX1",1,"MTX1"
"MUC20",1,"MUC20"
"MUC4",1,"MUC4"
"MUC5AC",1,"MUC5AC"
"MUC6",1,"MUC6"
"MUSK",1,"MUSK"
"MUTYH",1,"MUTYH"
"MX1",1,"MX1"
"MX2",1,"MX2"
"MYBL2",1,"MYBL2"
"MYBPC1",1,"MYBPC1"
"MYH10",1,"MYH10"
"MYH3",1,"MYH3"
"MYH7",1,"MYH7"
"MYH8",1,"MYH8"
"MYLK4",1,"MYLK4"
"MYNN",1,"MYNN"
"MYO16",1,"MYO16"
"MYO18B",1,"MYO18B"
"MYO1C",1,"MYO1C"
"MYO1D",1,"MYO1D"
"MYO1E",1,"MYO1E"
"MYO5A",1,"MYO5A"
"MYO6",1,"MYO6"
"MYO7B",1,"MYO7B"
"MYOF",1,"MYOF"
"MYOM1",1,"MYOM1"
"MYOM3",1,"MYOM3"
"MYT1L",1,"MYT1L"
"N4BP2L1",1,"N4BP2L1"
"NAA15",1,"NAA15"
"NAA20",1,"NAA20"
"NAA25",1,"NAA25"
"NAA30",1,"NAA30"
"NAALADL1",1,"NAALADL1"
"NADSYN1",1,"NADSYN1"
"NAIP",1,"NAIP"
"NALCN",1,"NALCN"
"NANOS3",1,"NANOS3"
"NANS",1,"NANS"
"NAP1L1",1,"NAP1L1"
"NAPG",1,"NAPG"
"NBPF1",1,"NBPF1"
"NBPF14",1,"NBPF14"
"NBPF15",1,"NBPF15"
"NBPF19",1,"NBPF19"
"NBR1",1,"NBR1"
"NCAN",1,"NCAN"
"NCAPG2",1,"NCAPG2"
"NCAPH2",1,"NCAPH2"
"NCK1",1,"NCK1"
"NCKIPSD",1,"NCKIPSD"
"NCOA3",1,"NCOA3"
"NCOR1",1,"NCOR1"
"NCOR2",1,"NCOR2"
"NCR1",1,"NCR1"
"NDC80",1,"NDC80"
"NDFIP2",1,"NDFIP2"
"NDRG4",1,"NDRG4"
"NDST2",1,"NDST2"
"NDUFA6",1,"NDUFA6"
"NDUFA7",1,"NDUFA7"
"NDUFAF4",1,"NDUFAF4"
"NDUFB5",1,"NDUFB5"
"NDUFB9",1,"NDUFB9"
"NDUFS1",1,"NDUFS1"
"NDUFS5",1,"NDUFS5"
"NDUFV2",1,"NDUFV2"
"NECAP1",1,"NECAP1"
"NEDD4",1,"NEDD4"
"NEIL3",1,"NEIL3"
"NEK10",1,"NEK10"
"NET1",1,"NET1"
"NEXN",1,"NEXN"
"NFATC1",1,"NFATC1"
"NFIX",1,"NFIX"
"NFKBID",1,"NFKBID"
"NFRKB",1,"NFRKB"
"NFS1",1,"NFS1"
"NFX1",1,"NFX1"
"NFXL1",1,"NFXL1"
"NGF",1,"NGF"
"NGFRAP1",1,"NGFRAP1"
"NHLRC3",1,"NHLRC3"
"NHS",1,"NHS"
"NID1",1,"NID1"
"NIN",1,"NIN"
"NIPA1",1,"NIPA1"
"NIPA2",1,"NIPA2"
"NIPAL1",1,"NIPAL1"
"NIPAL2",1,"NIPAL2"
"NIPAL3",1,"NIPAL3"
"NIPSNAP3A",1,"NIPSNAP3A"
"NKD1",1,"NKD1"
"NKG7",1,"NKG7"
"NKIRAS1",1,"NKIRAS1"
"NLGN1",1,"NLGN1"
"NLGN4Y",1,"NLGN4Y"
"NLRP11",1,"NLRP11"
"NLRP3",1,"NLRP3"
"NLRP4",1,"NLRP4"
"NLRP5",1,"NLRP5"
"NLRP6",1,"NLRP6"
"NLRP8",1,"NLRP8"
"NNT",1,"NNT"
"NOBOX",1,"NOBOX"
"NOL9",1,"NOL9"
"NOM1",1,"NOM1"
"NOMO1",1,"NOMO1"
"NOMO3",1,"NOMO3"
"NOP58",1,"NOP58"
"NOTCH1",1,"NOTCH1"
"NOX5",1,"NOX5"
"NPAS2",1,"NPAS2"
"NPAT",1,"NPAT"
"NPBWR2",1,"NPBWR2"
"NPEPPS",1,"NPEPPS"
"NPFFR2",1,"NPFFR2"
"NPHP1",1,"NPHP1"
"NPHP3",1,"NPHP3"
"NPHP4",1,"NPHP4"
"NPHS2",1,"NPHS2"
"NPM3",1,"NPM3"
"NPNT",1,"NPNT"
"NPR2",1,"NPR2"
"NPRL2",1,"NPRL2"
"NPSR1",1,"NPSR1"
"NPY5R",1,"NPY5R"
"NQO2",1,"NQO2"
"NR3C2",1,"NR3C2"
"NR4A2",1,"NR4A2"
"NRCAM",1,"NRCAM"
"NRIP1",1,"NRIP1"
"NRP1",1,"NRP1"
"NRXN1",1,"NRXN1"
"NRXN2",1,"NRXN2"
"NRXN3",1,"NRXN3"
"NSMAF",1,"NSMAF"
"NSMCE2",1,"NSMCE2"
"NSRP1",1,"NSRP1"
"NSUN3",1,"NSUN3"
"NSUN6",1,"NSUN6"
"NTNG2",1,"NTNG2"
"NTRK3",1,"NTRK3"
"NTSR2",1,"NTSR2"
"NUDCD1",1,"NUDCD1"
"NUDT12",1,"NUDT12"
"NUDT15",1,"NUDT15"
"NUDT17",1,"NUDT17"
"NUDT8",1,"NUDT8"
"NUDT9",1,"NUDT9"
"NUFIP1",1,"NUFIP1"
"NUMA1",1,"NUMA1"
"NUP155",1,"NUP155"
"NUP88",1,"NUP88"
"NUP98",1,"NUP98"
"NUPL1",1,"NUPL1"
"NXF3",1,"NXF3"
"NXF5",1,"NXF5"
"OAS3",1,"OAS3"
"OAZ1",1,"OAZ1"
"OCLN",1,"OCLN"
"OCRL",1,"OCRL"
"ODF2L",1,"ODF2L"
"OFD1",1,"OFD1"
"OGDHL",1,"OGDHL"
"OGFOD1",1,"OGFOD1"
"OGFOD2",1,"OGFOD2"
"OLFM1",1,"OLFM1"
"OLFML1",1,"OLFML1"
"OPLAH",1,"OPLAH"
"OPN1SW",1,"OPN1SW"
"OPN4",1,"OPN4"
"OPRL1",1,"OPRL1"
"OR10G4",1,"OR10G4"
"OR10H2",1,"OR10H2"
"OR10X1",1,"OR10X1"
"OR10Z1",1,"OR10Z1"
"OR11G2",1,"OR11G2"
"OR11H12",1,"OR11H12"
"OR11H6",1,"OR11H6"
"OR12D3",1,"OR12D3"
"OR13C8",1,"OR13C8"
"OR14C36",1,"OR14C36"
"OR1E1",1,"OR1E1"
"OR1J2",1,"OR1J2"
"OR1L8",1,"OR1L8"
"OR1N2",1,"OR1N2"
"OR2AK2",1,"OR2AK2"
"OR2AT4",1,"OR2AT4"
"OR2B2",1,"OR2B2"
"OR2B3",1,"OR2B3"
"OR2C1",1,"OR2C1"
"OR2G6",1,"OR2G6"
"OR2H2",1,"OR2H2"
"OR2K2",1,"OR2K2"
"OR2L13",1,"OR2L13"
"OR2L3",1,"OR2L3"
"OR2M5",1,"OR2M5"
"OR2T27",1,"OR2T27"
"OR2T33",1,"OR2T33"
"OR2T34",1,"OR2T34"
"OR2T4",1,"OR2T4"
"OR3A3",1,"OR3A3"
"OR4A47",1,"OR4A47"
"OR4A5",1,"OR4A5"
"OR4C11",1,"OR4C11"
"OR4C3",1,"OR4C3"
"OR4C6",1,"OR4C6"
"OR4D10",1,"OR4D10"
"OR4D9",1,"OR4D9"
"OR4F4",1,"OR4F4"
"OR4K2",1,"OR4K2"
"OR4L1",1,"OR4L1"
"OR4N2",1,"OR4N2"
"OR4P4",1,"OR4P4"
"OR51E2",1,"OR51E2"
"OR51G1",1,"OR51G1"
"OR51I1",1,"OR51I1"
"OR51V1",1,"OR51V1"
"OR52A5",1,"OR52A5"
"OR52N4",1,"OR52N4"
"OR56A1",1,"OR56A1"
"OR5AK2",1,"OR5AK2"
"OR5AR1",1,"OR5AR1"
"OR5AS1",1,"OR5AS1"
"OR5B17",1,"OR5B17"
"OR5B2",1,"OR5B2"
"OR5B3",1,"OR5B3"
"OR5D18",1,"OR5D18"
"OR5F1",1,"OR5F1"
"OR5H14",1,"OR5H14"
"OR5I1",1,"OR5I1"
"OR5K1",1,"OR5K1"
"OR5M1",1,"OR5M1"
"OR5V1",1,"OR5V1"
"OR6A2",1,"OR6A2"
"OR6C3",1,"OR6C3"
"OR6C70",1,"OR6C70"
"OR6C75",1,"OR6C75"
"OR6K2",1,"OR6K2"
"OR6S1",1,"OR6S1"
"OR7A17",1,"OR7A17"
"OR7A5",1,"OR7A5"
"OR8B12",1,"OR8B12"
"OR8B3",1,"OR8B3"
"OR8B4",1,"OR8B4"
"OR8D1",1,"OR8D1"
"OR8K5",1,"OR8K5"
"OR9I1",1,"OR9I1"
"ORC1",1,"ORC1"
"ORC2",1,"ORC2"
"ORC3",1,"ORC3"
"OSBPL7",1,"OSBPL7"
"OSBPL9",1,"OSBPL9"
"OSGIN2",1,"OSGIN2"
"OSMR",1,"OSMR"
"OSTC",1,"OSTC"
"OTOA",1,"OTOA"
"OTUD5",1,"OTUD5"
"OTUD6A",1,"OTUD6A"
"OTUD7A",1,"OTUD7A"
"OTX1",1,"OTX1"
"OTX2",1,"OTX2"
"OVGP1",1,"OVGP1"
"OXGR1",1,"OXGR1"
"OXR1",1,"OXR1"
"P3H2",1,"P3H2"
"P4HB",1,"P4HB"
"PABPC1",1,"PABPC1"
"PABPC3",1,"PABPC3"
"PACRGL",1,"PACRGL"
"PACSIN3",1,"PACSIN3"
"PADI1",1,"PADI1"
"PADI6",1,"PADI6"
"PARD3",1,"PARD3"
"PARD6B",1,"PARD6B"
"PARP10",1,"PARP10"
"PARP14",1,"PARP14"
"PARP4",1,"PARP4"
"PARPBP",1,"PARPBP"
"PATE2",1,"PATE2"
"PAWR",1,"PAWR"
"PAXBP1",1,"PAXBP1"
"PAXIP1",1,"PAXIP1"
"PCBP1",1,"PCBP1"
"PCDH1",1,"PCDH1"
"PCDH11Y",1,"PCDH11Y"
"PCDH17",1,"PCDH17"
"PCDH18",1,"PCDH18"
"PCDH19",1,"PCDH19"
"PCDH20",1,"PCDH20"
"PCDH8",1,"PCDH8"
"PCDHA1",1,"PCDHA1"
"PCDHA10",1,"PCDHA10"
"PCDHA5",1,"PCDHA5"
"PCDHA6",1,"PCDHA6"
"PCDHAC1",1,"PCDHAC1"
"PCDHB1",1,"PCDHB1"
"PCDHB11",1,"PCDHB11"
"PCDHB6",1,"PCDHB6"
"PCDHB8",1,"PCDHB8"
"PCDHGA1",1,"PCDHGA1"
"PCDHGA11",1,"PCDHGA11"
"PCDHGA12",1,"PCDHGA12"
"PCDHGA2",1,"PCDHGA2"
"PCDHGA4",1,"PCDHGA4"
"PCDHGA5",1,"PCDHGA5"
"PCDHGA9",1,"PCDHGA9"
"PCDHGB3",1,"PCDHGB3"
"PCDHGB4",1,"PCDHGB4"
"PCDHGC4",1,"PCDHGC4"
"PCID2",1,"PCID2"
"PCLO",1,"PCLO"
"PCNX",1,"PCNX"
"PCSK5",1,"PCSK5"
"PCSK6",1,"PCSK6"
"PCSK7",1,"PCSK7"
"PCYOX1L",1,"PCYOX1L"
"PDCD1",1,"PDCD1"
"PDCD10",1,"PDCD10"
"PDCD1LG2",1,"PDCD1LG2"
"PDCD4",1,"PDCD4"
"PDE1C",1,"PDE1C"
"PDE3A",1,"PDE3A"
"PDE3B",1,"PDE3B"
"PDE4B",1,"PDE4B"
"PDE5A",1,"PDE5A"
"PDGFRB",1,"PDGFRB"
"PDHA2",1,"PDHA2"
"PDHX",1,"PDHX"
"PDIA3",1,"PDIA3"
"PDIA5",1,"PDIA5"
"PDK3",1,"PDK3"
"PDPR",1,"PDPR"
"PDS5B",1,"PDS5B"
