"","Freq","Genes"
"MYBPC2",2,"MYBPC2"
"MYCBP2",2,"MYCBP2"
"MYCBPAP",2,"MYCBPAP"
"MYH1",2,"MYH1"
"MYH15",2,"MYH15"
"MYH2",2,"MYH2"
"MYH6",2,"MYH6"
"MYO10",2,"MYO10"
"MYO15A",2,"MYO15A"
"MYO19",2,"MYO19"
"MYO3A",2,"MYO3A"
"MYO3B",2,"MYO3B"
"MYO5C",2,"MYO5C"
"MYOZ2",2,"MYOZ2"
"N4BP2L2",2,"N4BP2L2"
"NBPF10",2,"NBPF10"
"NCAPD3",2,"NCAPD3"
"NCKAP1",2,"NCKAP1"
"NCKAP1L",2,"NCKAP1L"
"NCOA7",2,"NCOA7"
"NDUFA9",2,"NDUFA9"
"NDUFAF6",2,"NDUFAF6"
"NEB",2,"NEB"
"NEK8",2,"NEK8"
"NFAT5",2,"NFAT5"
"NFATC4",2,"NFATC4"
"NFE2L3",2,"NFE2L3"
"NFIA",2,"NFIA"
"NHSL2",2,"NHSL2"
"NID2",2,"NID2"
"NIM1K",2,"NIM1K"
"NKX2-1",2,"NKX2-1"
"NLRC4",2,"NLRC4"
"NME8",2,"NME8"
"NOL8",2,"NOL8"
"NOTCH4",2,"NOTCH4"
"NPC1L1",2,"NPC1L1"
"NPHS1",2,"NPHS1"
"NPR1",2,"NPR1"
"NUP133",2,"NUP133"
"NUP210L",2,"NUP210L"
"NUP214",2,"NUP214"
"OR10AG1",2,"OR10AG1"
"OR13F1",2,"OR13F1"
"OR1S2",2,"OR1S2"
"OR2J2",2,"OR2J2"
"OR2M3",2,"OR2M3"
"OR4D5",2,"OR4D5"
"OR4K5",2,"OR4K5"
"OR4M1",2,"OR4M1"
"OR4N5",2,"OR4N5"
"OR4X1",2,"OR4X1"
"OR52E2",2,"OR52E2"
"OR5D13",2,"OR5D13"
"OR5L1",2,"OR5L1"
"OR8H2",2,"OR8H2"
"OSBP",2,"OSBP"
"PAK7",2,"PAK7"
"PALMD",2,"PALMD"
